Município;UF;TOM;Unidade Local;Delegacia;Região Fiscal;Estado;Pais
MACARANI;BA;3695;ARF - ITAPETINGA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MACAUBAS;BA;3697;ARF - GUANAMBI (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MACURURE;BA;3699;ARF - PAULO AFONSO (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MADRE DE DEUS;BA;3293;DRF - SALVADOR (BA);DRF - SALVADOR (BA);5ª RF;Bahia;Brasil
MAETINGA;BA;3975;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MAIQUINIQUE;BA;3701;ARF - ITAPETINGA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MAIRI;BA;3703;ARF - JACOBINA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MALHADA;BA;3705;ARF - GUANAMBI (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MALHADA DE PEDRAS;BA;3707;ARF - GUANAMBI (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MALHADA DOS BOIS;SE;3175;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
MALHADOR;SE;3177;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
MANOEL VITORINO;BA;3709;ARF - JEQUIÉ (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MANSIDAO;BA;3977;ARF - BARREIRAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MARACAS;BA;3711;ARF - JEQUIÉ (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MARAGOGIPE;BA;3713;ARF - CRUZ DAS ALMAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MARAU;BA;3715;IRF - ILHÉUS (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MARCIONILIO SOUZA;BA;3717;ARF - JEQUIÉ (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MARUIM;SE;3179;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
MASCOTE;BA;3719;ARF - ITABUNA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MATA DE SAO JOAO;BA;3721;DRF - SALVADOR (BA);DRF - SALVADOR (BA);5ª RF;Bahia;Brasil
MATINA;BA;3295;ARF - GUANAMBI (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MEDEIROS NETO;BA;3723;ARF - TEIXEIRA DE FREITAS (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MIGUEL CALMON;BA;3725;ARF - JACOBINA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MILAGRES;BA;3727;ARF - JEQUIÉ (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MIRANGABA;BA;3729;ARF - JACOBINA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MIRANTE;BA;3297;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MOITA BONITA;SE;3181;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
MONTE ALEGRE DE SERGIPE;SE;3183;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
MONTE SANTO;BA;3731;ARF - EUCLIDES DA CUNHA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MORPARA;BA;3733;ARF - BARREIRAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MORRO DO CHAPEU;BA;3735;ARF - IRECÊ (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MORTUGABA;BA;3737;ARF - GUANAMBI (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MUCUGE;BA;3739;ARF - SEABRA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MUCURI;BA;3741;ARF - TEIXEIRA DE FREITAS (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
MULUNGU DO MORRO;BA;3299;ARF - IRECÊ (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MUNDO NOVO;BA;3743;ARF - JACOBINA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MUNIZ FERREIRA;BA;3745;ARF - SANTO ANTÔNIO DE JESUS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MUQUEM DO SAO FRANCISCO;BA;3005;ARF - BARREIRAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
MURIBECA;SE;3185;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
MURITIBA;BA;3747;ARF - CRUZ DAS ALMAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
